X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
1060.0,890.0,300.0,99888.1,388.1876,1.13405e-06,-250.0,-96.22878,38.95149,192.7227,38.95149,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1060.0,1090.0,300.0,1069.08,3.722797,8.75394e-08,-250.0,-87.9897,-18.86531,143.145,-18.86531,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
1060.0,1270.0,150.0,542.333,345.2029,1.24371e-07,-250.0,-87.9897,3.632597,165.6429,3.632597,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1060.0,1480.0,150.0,478.566,390.8645,7.7324e-08,-250.0,-87.9897,4.586891,166.5972,4.586891,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1060.0,1790.0,2.0,524.904,161.1007,1.48148e-07,-250.0,-87.9897,-1.262404,160.7479,-1.262404,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1070.0,100.0,2.0,676.206,5.162769,2.3763e-07,-250.0,-87.9897,-17.43431,144.576,-17.43431,sea surface,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1070.0,420.0,2.0,914.882,141.3083,6.0874e-10,-250.0,-87.9897,-1.993605,160.0167,-1.993605,plain ground,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1070.0,730.0,2.0,800.782,1.708786,3.56452e-07,-250.0,-87.9897,-22.2623,139.748,-22.2623,plain ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1070.0,990.0,2.0,643.579,2.395906,1.63594e-07,-250.0,-87.9897,-20.78931,141.221,-20.78931,plain ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1070.0,1160.0,2.0,871.138,456.0343,2.70498e-07,-250.0,-87.9897,5.862898,167.8732,5.862898,plain ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1070.0,1360.0,2.0,1110.63,136.7162,1.42025e-08,-250.0,-87.9897,-2.174402,159.8359,-2.174402,suburban ground,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1070.0,1640.0,300.0,478.879,390.3128,1.11216e-07,-250.0,-87.9897,4.575695,166.586,4.575695,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1070.0,1960.0,150.0,634.133,249.9075,1.89478e-07,-250.0,-87.9897,1.391395,163.4017,1.391395,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
